ID;Author;Country;Title;Url;;;
123;"Boekenoogen, G. J.	";;Een Schone ende Miraculeuse historie van den Ridder Metter Swane. Leiden, 1931.;;;;
124;;;;;;;
125;"Boje, Christian.	";;öber den altfranzîsischen roman von Beuve de Hamtone (Beiheft zur Zeitschrift fÅr RomÑnische Philologie XIX). Halle a. S., 1909.;;;;
126;;;;;;;
127;"*Bolte, J.		";;Jakob Freys Gartengesellschaft (Bibliothek des Literarischen Vereins in Stuttgart, No. 209). TÅbingen, 1896.;;;;
128;"*Bolte, J.		";;"				*Martin Montanus SchwankbÅcher (Bibliothek des Literarischen Vereins in Stuttgart, No. 217). TÅbingen, 1899.";;;;
129;"*Bolte, J.		";;"				*Valentin Schumanns NachtbÅchlein (Bibliothek des Literarischen Vereins in Stuttgart, No. 197). TÅbingen, 1893.";;;;
130;"*Bolte, J.		";;"				*Georg Wickrams Werke (Bibliothek des Literarischen Vereins in Stuttgart, Nos. 222, 223, 229, 230, 232, 236, 237, 241). 8 vols. TÅbingen, 1901--08.";;;;
131;"*Bolte, J.		";;"				See BP.";;;;
132;"*Bolte, J.		";;"				See Fischer.";;;;
133;"*Bolte, J.		";;"				See Pauli.";;;;
134;;;;;;;
135;BÛsasaga;; (ed. O. L. Jiriczek). Strassburg, 1893.;;;;
136;;;;;;;
137;"Bourhill, E. J.	and Drake,";;J. B. Fairy Tales from South Africa. London, 1908.;https://archive.org/details/fairytalesfroms00hollgoog;;;
138;;;;;;;
139;"Bouveignes, Olivier 	de";; Contes d'Afrique. Paris, 1927.;;;;
140;;;;;;;
141;*BP = Polivka,;;G. Anmerkungen zu den Kinder- und HausM‰rchen der BrÅder Grimm. 5 vols. Leipzig, 1913--31.;;;;
142;;;;;;;
143;"Broderius, John R.	";;The Giant in Germanic Tradition (University of Chicago dissertation). Chicago, 1933.;;;;
144;;;;;;;
145;"Brown, A. C. L.	Iwain";;: a Study in the Origins of Arthurian Romance (Harvard Studies and Notes in Philology and Literature VIII). Boston, 1903.;https://archive.org/details/cu31924027271588;;;
146;;;;;;;
147;"Brown Collection	";; = The Frank C. Brown Collection of North Carolina Folklore. 5 vols. Durham, N. C., 1952--.;;;;
148;;;;;;;
149;"Bryan, William F.	and Dempster, Germaine.";;Sources and Analogues of Chaucer's Canterbury Tales. Chicago, 1941.;;;;
150;;;;;;;
151;"Bugge, Sophus.		";;Norr¢ne Skrifter af Sagnhistorisk Indhold. Christiania, 1864.;;;;
152;;;;;;;
153;"Burton, R. F.		";;Arabian Nights: The Book of the Thousand Nights and a Night. London, 1894. (SI, SII, etc. refers to Supplementary Volumes).;;;;
154;;;;;;;
155;Book of the Sword. London, 1884.;;;;;;
156;;;;;;;
157;"BÅttner, C. G  ";;Lieder und Geschichten der Suaheli. Berlin, 1894.;;;;
158;;;;;;;
159;;;;;;;
160;"Caldwell, J. R.	Egar and Grime.";;Cambridge (Mass.), 1933.;;;;
161;;;;;;;
162;"*Callaway, H.		";;Nursery Tales, Traditions, and Histories of the Zulus. Vol. I. Natal and London, 1868.;https://archive.org/details/nurserytalestra00callgoog;;;
163;;;;;;;
164;"Campbell, J. F.	";;Popular Tales of the West Highlands. 4 vols. 2d edition. London, 1890--93.;https://archive.org/details/populartalesofwe03campuoft;;;
165;;;;;;;
166;"*Campbell, K. 		";;The Seven Sages of Rome. Boston, 1907.;https://archive.org/details/sevensagesofrome00camp;;;
167;;;;;;;
168;"Campbell-McKay		";; = John G. McKay, More West Highland Tales, transcribed and translated from the original Gaelic manuscript of John Francis Campbell. Edinburgh and London, 1940.;;;;
169;;;;;;;
170;"Cappelle, H. van.	";;Mythen en Sagen uit West Indiâ. Zutphen, 1926.;;;;
171;;;;;;;
172;"Cardim, Fer§ao.	";;Tratado da terra e gente do Brasil. Rio de Janeiro, 1925.;;;;
173;;;;;;;
174;"*Carnoy, Albert J.	";;Iranian Mythology (The Mythology of all Races VI). Boston, 1917.;http://archive.org/stream/themythologyofal06alexuoft#page/n9/mode/2up;;;
175;;;;;;;
176;"CarriËre			= J. M. CarriËre,";;Tales from the French Folk-Lore of Missouri. Evanston and Chicago, 1937.;;;;
177;;;;;;;
178;"Carrington, Hereward	and Fodor, Nandor.";;Haunted People: Story of the Poltergeist down the Centuries. New York, 1951.;;;;
179;;;;;;;
180;"Casati, Gaetano.	";;Ten Years in Equatoria and the Return with Emin Pasha (London, New York, 1891).;https://archive.org/details/tenyearsinequat02casagoog;;;
181;;;;;;;
