162;222;Le trésor des Contes - Les Brigands;Henri Pourrat;Gallimard;1978;;222
163;223;Contes de ma Grand'Mère;George Sand;Editions R.Simon;;;223
164;224;Contes Lithuaniens;Jean Mauclere;Fernand lanore;1936;;224
165;225;Légendes rustiques;George Sand;Christian Pirot;;;225
166;226;Le trésor des Contes - Au village;Henri Pourrat;Gallimard;1979;;226
167;227;Contes populaires de la Gascogne t I;Jean-François Bladé;Opales;1996;;227
168;228;Contes populaires de la Gascogne t II;Jean-François Bladé;Opales;1997;;228
169;229;Contes populaires de la Gascogne t III;Jean-François Bladé;Opales;1997;;229
170;230;Contes du pays Gallo;Adolphe Orain;Yves Salmon Editeur / Honoré Champion;1990/1904;;230
171;231;Nanette Lévesque Conteuse et Chanteuse;M.L. Ténèze et G. Delarue;Gallimard;2000;;231
172;232;Le Cabinet des fées Tome 1 Contes de Mme d'Aulnoy;;Picquier poche;1994;;232
173;233;Le Cabinet des fées Tome 2 Plus Belle que fée et autres contes;;Picquier poche;1994;;233
174;234;Le Cabinet des fées Tome 3 La bibiliothèque des Génies et des Fées;;Picquier poche;1994;;234
175;235;Contes populaires du Dauphiné Tome 3;Charles et Alice Joisten;Editions A Die - Musée Dauphinois;1996;;235
176;236;Contes roumains;Arthur et Albert Schott;Maisonneuve & Larose;2001;Denise Modigliani;236
177;237;Contes populaires de toutes les Normandies;Michel Hérubel;Ouest-France;1978;;237
178;238;Les contes du poitou;Pineau;;1989;;238
179;239;Contes Corses;G. Massignon;;;;239
180;240;Il était plusieurs fois Contes populaires palestiniens;Ibrahim Muhawi et Sharif Kanaana;Arcantère Editions;1997;;240
181;241;Contes et légendes de la vallée du Lot (Aveyron);Daniel Loddo;C.O.R.D.A.E / La Talvera;1996;;241
182;242;Récits et Contes populaires de Savoie;Ch Joisten;Gallimard;1980;;242
183;243;Récits et Contes populaires de Berry 1;Geneviève Debiais, Michel Valière;Gallimard;1980;;243
184;244;Récits et Contes populaires de Pays Basque 1;Pierre Bidart;Gallimard;1978;;244
185;245;Récits et Contes populaires de Pays Basque 2;Pierre Bidart;Gallimard;1979;;245
186;246;Récits et Contes populaires du Nivernais;Achille Milien, Georges Delarue;Gallimard;1978;;246
187;247;Contes et légendes de Fribourg;Ch. Détraz, Ph Grand;Radio-Télévision Suisse Romande et Monographic SA;1984;;247
188;249;365 Contes des pourquoi et des comment;Muriel Bloch;Gallimard Jeunesse;1997;;249
189;315;Récits et Contes populaires Normandie/1;Jean Cuisenier;Gallimard;1979;;315
190;316;Récits et Contes populaires Poitou/1;Catherine Robert et Michel Valière;Gallimard;1979;;316
191;317;Les contes populaires du Poitou;Léon Pineau;Brissaud - Librairie le Bouquiniste - Poitiers;1891;;317
192;318;Le Rameau de l'Arbre du Soleil;Jerzy Ficowski;Wallada;1990;M. Sadowska-Daguin;318
193;319;Contes populaires Serbes;Vouk Karadjitch Divna Vékovitch;Editions Internationales - Paris;1934;;319
194;320;Récits et Contes Populaires d'Alsace 1;MC Groshens, MN Denis, H Lucius;Gallimard;1979;;320
195;321;Le Roi des Serpents - Contes tsiganes;Vania de Gila;Wallada;1996;;321
196;322;Légendes de la Perse ancienne;Mahin Tajadod;Gründ;1993;Maryam Ghassemi;322
197;323;Contes choisis;Erckmann-Chatrian;Editions de l'Erable - François Beauval;1975;;323
198;324;Contes populaires de Roumanie;Ion Creanga;Maisonneuve Frères Editeurs;1931;S. Stoian et O. de Chateauvieux lebel;324
199;325;Contes et Légendes de Hongrie;Michel Klimo;Maisonneuve & Larose;1969;;325
200;326;Récits et Contes populaires de Picardie 1;Yvan Brohard, Jean-François leblond;Gallimard;1979;;326
201;327;Récits et Contes populaires de Bretagne 1;Donatien Laurent;Gallimard;1978;;327
202;328;Récits et Contes populaires de Bretagne 2;Geneviève Massignon;Gallimard;1981;;328
203;329;Contes et Légendes de haute Bretagne;Albert Poulain;Editions Ouest-France;1999;;329
204;330;Tigre et Kaki et autres contes de Corée;Maurice Coyaud et Jin-Mieung Li;Gallimard Connaissance de l'Orient;1995;M. Coyaud et J-M Li;330
205;331;Contes populaires de Lorraine Tome II;Emmanuel Cosquin;F. Vieweg, Librairie-Editeur;;;331
