15293;Le songe proph�tique 1;;;1;725;;518;;0;;0;;0;;0;;;;;;106-240/133;2
15294;La montagne d'or;;;1;936;;0;;0;;0;;0;;0;;;;;;107-243/136;2
15295;Le pipeau magique I;;;1;780;;0;;0;;0;;0;;0;;;;;;108-244/137 a;2
15296;Le pipeau magique II;;;1;780;;0;;0;;0;;0;;0;;;;;;109-246/137 c;2
15297;Le plateau d'argent et la pomme vermeille;;;1;780;;0;;0;;0;;0;;0;;;;;;110-569 R/137;2
15298;Le chasseur et sa femme;;;1;670;;0;;0;;0;;0;;0;;;;;;111-248/139;2
15299;Le savoir magique II;;;1;325;;0;;0;;0;;0;;0;;;;;;112-251/140 c;2
15300;La merveille des merveilles;;;1;571;;0;;0;;0;;0;;0;;;;;;113-256/142;2
15301;Le tr�sor;;;1;831;;0;;0;;0;;0;;0;;;;;;114-258/144;2
15302;Le messager rapide;;;1;665;;0;;0;;0;;0;;0;;;;;;115-259/145;2
15303;Alionouchka et Ivanouchka;;;1;450;;0;;0;;0;;0;;0;;;;;;116-260/146 a;2
15304;La cane blanche;;;1;403;;0;;0;;0;;0;;0;;;;;;117-265/148;2
15305;La princesse-grenouille II;;;1;402;;400;;0;;0;;0;;0;;;;;;118-268/150 b;2
15306;La princesse-grenouille III;;;1;402;;400;;0;;0;;0;;0;;;;;;119-269/150 c;2
15307;La princesse-serpente;;;1;401;;569;;0;;0;;0;;0;;;;;;120-270/151;2
15308;La princesse ensorcel�e II;;;1;401;;400;;518;;0;;0;;0;;;;;;121-272/152 b;2
15309;Le tsari�vitch ensorcel�;;;1;425;C;0;;0;;0;;0;;0;;;;;;122-276/155;2
15310;Le bouc morveux;;;1;430;;0;;0;;0;;0;;0;;;;;;123-277/156;2
15311;Le souillon;;;1;361;;0;;0;;0;;0;;0;;;;;;124-278/157;2
15312;La manchotte I;;;1;706;;0;;0;;0;;0;;0;;;;;;125-279/158 a;2
15313;Au front le soleil;;;1;707;;675;;0;;0;;0;;0;;;;;;126-283/159 a;2
15314;Les jambes argent�es;;;1;707;;0;;0;;0;;0;;0;;;;;;127-286/159 d;2
15315;Peau de cochon;;;1;510;B;0;;0;;0;;0;;0;;;;;;128-290/16la;2
15316;Je-ne-sais-pas II;;;1;532;;0;;0;;0;;0;;0;;;;;;129-296/165 b;2
15317;La princesse-qui-ne-riait-jamais;;;1;559;;842;C;850;;0;;0;;0;;;;;;130-297/166;2
15318;Les danses nocturnes;;;1;306;;0;;0;;0;;0;;0;;;;;;131-298/167;2
15319;Gros-comme-le-petit-doigt;;;1;700;;0;;0;;0;;0;;0;;;;;;132-300/168;2
15320;Gros-Oeil;;;1;210;;0;;0;;0;;0;;0;;;;;;133-301/169;2
15321;La m�chancet�-�-un-oeil;;;1;1137;;0;;0;;0;;0;;0;;;;;;134-302/170;2
15322;Le chagrin;;;1;735;A;0;;0;;0;;0;;0;;;;;;135-303/171;2
15323;Les deux chances;;;1;735;;735;A;0;;0;;0;;0;;;;;;136-304/172;2
15324;Marco le Fortun�;;;1;461;;0;;0;;0;;0;;0;;;;;;137-305/173 a;2
15325;En visite chez le soleil;;;1;460;B;0;;0;;0;;0;;0;;;;;;138-307/173 R;2
15326;Daniel l'Infortun�;;;1;465;;882;A;0;;0;;0;;0;;;;;;139-313/178;2
15327;Baldak-fils de Boris;;;1;946;A;0;;0;;0;;0;;0;;;;;;140-315/180;2
15328;Vassilissa-fille de pope;;;1;884;B;0;;0;;0;;0;;0;;;;;;141-316/181;2
